Titular,Enlace,Fecha_Captura
“Me cansé de los hombres blancos mayores a los que no les importa lo que quieren las mujeres”,https://www.lavanguardia.com/cultura/20260520/11542308/me-canse-hombres-blancos-mayores-les-importa-quieren-mujeres.html,2026-05-20 11:38:19
"Valliser, modelo de producción local y sostenible",https://www.lavanguardia.com/empresas-de-vanguardia/20260520/11537401/valliser-reconocimiento-empresa-vanguardia-bbva-modelo-produccion-local-sostenibilidad-alimentaria-brl.html,2026-05-20 11:38:19
El hombre que asesinó a su expareja en Figueres fue condenado el día antes por agredirla,https://www.lavanguardia.com/vida/20260520/11542576/hombre-asesino-expareja-figueres-condenado-lunes-agredirla.html,2026-05-20 11:38:19
Barcelona frena la apertura de supermercados 24 horas durante todo un año,https://www.lavanguardia.com/local/barcelona/20260520/11542860/barcelona-frena-apertura-supermercados-24-horas-ano.html,2026-05-20 11:38:19
Expulsados de España 7 multirreincidentes que acumulan más de 100 antecedentes policiales,https://www.lavanguardia.com/local/barcelona/20260520/11542957/expulsados-espana-7-multirreincidentes-acumulan-mas-100-antecedentes-policiales.html,2026-05-20 11:38:19
Los sindicatos consultan al profesorado valenciano si aceptan el acuerdo de Educación,https://www.lavanguardia.com/local/valencia/20260520/11542877/sindicatos-consultan-profesorado-valenciano-aceptan-acuerdo-educacion.html,2026-05-20 11:38:19
Personas a las que el 112 no respondía en la dana llamaban a À Punt: “Eran llamadas terroríficas”,https://www.lavanguardia.com/local/valencia/20260520/11543082/personas-112-respondia-dana-llamaban-a-punt-llamadas-terrorificas.html,2026-05-20 11:38:19
Gran acto de Compromís en València a un año de las elecciones... sin Mónica Oltra,https://www.lavanguardia.com/local/valencia/20260520/11542425/gran-acto-compromis-valencia-ano-elecciones-monica-oltra.html,2026-05-20 11:38:19
Polémica entre el Ayuntamiento de Rivas y Ayuso por una maqueta para cubrir el metro,https://www.lavanguardia.com/local/madrid/20260520/11542967/polemica-ayuntamiento-rivas-gobierno-ayuso-maqueta-cubrir-vias-metro.html,2026-05-20 11:38:19
"Llega el calor a Madrid, con temperaturas que alcanzarán los 30 grados",https://www.lavanguardia.com/local/madrid/20260520/11542834/llega-calor-madrid-temperaturas-alcanzaran-30-grados.html,2026-05-20 11:38:19
Mercadona supera los 3.000 millones en compras a proveedores en Madrid,https://www.lavanguardia.com/economia/20260520/11542927/mercadona-supera-3-000-millones-compras-proveedores-madrid.html,2026-05-20 11:38:19
“Al inmigrante le decimos a la vez: no te queremos y te necesitamos”,https://www.lavanguardia.com/lacontra/20260520/11542479/inmigrante-le-decimos-vez-te-queremos-te-necesitamos.html,2026-05-20 11:38:19
“Todo en internet es falso”,https://www.lavanguardia.com/opinion/20260520/11540851/internet-falso.html,2026-05-20 11:38:19
La paradoja Monet,https://www.lavanguardia.com/vida/20260520/11542466/paradoja-monet.html,2026-05-20 11:38:19
Mataré a quien más quieras,https://www.lavanguardia.com/sucesos/20260520/11541662/matare-mas-quieras.html,2026-05-20 11:38:19
"La Cripta de la Sagrada Família alberga la presentación de ‘Gaudí, el arquitecto de Dios’",https://www.lavanguardia.com/local/barcelona/20260519/11542542/inmersion-gaudiniana.html,2026-05-20 11:38:19
"La ruta por los Balcanes que todos quieren hacer: Albania, Montenegro, Croacia y Bosnia",https://www.lavanguardia.com/comprar/cultura-ocio/20260520/11537290/ruta-balcanes-todos-quieren-hacer-este-ano-albania-montenegro-croacia-bosnia-descuento-exclusivo-mkt-exo.html,2026-05-20 11:38:19
El Congreso examina hoy la ley de la pasarela al RETA para mutualistas: ¿qué consecuencias tiene?,https://www.lavanguardia.com/economia/20260520/11542865/congreso-examina-hoy-ley-pasarela-reta-mutualistas-que-que-consecuencias.html,2026-05-20 11:38:19
Golpe sobre la mesa en las cuentas remuneradas: más del 3% TAE por tu ahorro,https://www.lavanguardia.com/dinero/20260520/11540110/cuenta-remunerada-ahorro-deposito-trade-republic-bancos-ofertas-pca.html,2026-05-20 11:38:19
“Ya todo me molesta”: ¿qué hacer en una relación cuando cualquier gesto del otro empieza a pesar?,https://www.lavanguardia.com/vivo/relaciones/20260520/11536667/me-molesta-que-relacion-gesto-empieza-pesar.html,2026-05-20 11:38:19
Acuerdo para los presupuestos catalanes,https://www.lavanguardia.com/opinion/20260520/11542541/acuerdo-presupuestos-catalanes.html,2026-05-20 11:38:19
Los ministros no son lo que eran,https://www.lavanguardia.com/opinion/20260520/11542154/ministros-son.html,2026-05-20 11:38:19
El populismo tecnológico,https://www.lavanguardia.com/opinion/20260520/11542194/populismo-tecnologico.html,2026-05-20 11:38:19
El punto de vista,https://www.lavanguardia.com/opinion/20260520/11542106/punto-vista.html,2026-05-20 11:38:19
"Vilaplana, caso cerrado",https://www.lavanguardia.com/local/valencia/20260520/11542337/vilaplana-caso-cerrado.html,2026-05-20 11:38:19
Coto a los antidepresivos,https://www.lavanguardia.com/opinion/20260520/11542004/coto-antidepresivos.html,2026-05-20 11:38:19
"Vance y Rubio, aprendices",https://www.lavanguardia.com/opinion/20260520/11542571/vance-rubio-aprendices.html,2026-05-20 11:38:19
Trump dice que estuvo “a una hora” de atacar a Irán y da un margen de días para un acuerdo,https://www.lavanguardia.com/internacional/20260519/11542558/trump-dice-estuvo-hora-atacar-iran-da-margen-dias-acuerdo.html,2026-05-20 11:38:19
El Senado da el primer paso para votar una medida que pondría fin a la guerra de Irán,https://www.lavanguardia.com/internacional/20260520/11542787/senado-da-primer-paso-votar-medida-pondria-guerra-iran.html,2026-05-20 11:38:19
Israel y EE.UU. planearon reinstalar en el poder iraní al expresidente Ahmadineyad,https://www.lavanguardia.com/internacional/20260520/11542835/israel-ee-uu-planearon-reinstalar-irani-expresidente-ahmadineyad-nyt.html,2026-05-20 11:38:19
Lituania pide a la población que se refugie por las incursiones de drones,https://www.lavanguardia.com/internacional/20260520/11543022/lituania-pide-poblacion-refugie-plena-tension-baltico-incursiones-drones.html,2026-05-20 11:38:19
Austria investiga a dos sospechosos de participar en los 'safaris humanos' de Sarajevo,https://www.lavanguardia.com/internacional/20260520/11543131/austria-investiga-dos-sospechosos-haber-participado-safaris-humanos-sarajevo.html,2026-05-20 11:38:19
Junqueras confía en que Catalunya tenga las competencias para recaudar el IRPF antes del 2027,https://www.lavanguardia.com/politica/20260520/11543006/junqueras-confia-catalunya-tenga-competencias-recaudar-irpf-generales-2027.html,2026-05-20 11:38:19
Washington confirma que ha colaborado con España en la investigación a Zapatero,https://www.lavanguardia.com/politica/20260520/11542984/washington-confirma-colaborado-espana-investigacion-zapatero.html,2026-05-20 11:38:19
Almeida: “Estoy absolutamente a tope” para ser candidato en las próximas elecciones,https://www.lavanguardia.com/local/madrid/20260520/11543017/almeida-absolutamente-tope-candidato-proximas-elecciones.html,2026-05-20 11:38:19
Los Comuns instan al Govern a no aprobar los presupuestos sin revisar su acuerdo,https://www.lavanguardia.com/politica/20260519/11542078/comuns-instan-govern-aprobar-presupuestos-revisar-acuerdo.html,2026-05-20 11:38:19
La gobernadora general y el primer ministro de Canadá reciben al Rey en Ottawa,https://www.lavanguardia.com/politica/20260520/11542059/gobernadora-general-primer-ministro-canada-dan-bienvenida-rey-ottawa.html,2026-05-20 11:38:19
La UE acelera su puesta en marcha del trato comercial con EE.UU. para contentar a Trump,https://www.lavanguardia.com/economia/20260520/11542802/ue-acelera-puesta-marcha-trato-comercial-ee-uu-contentar-trump.html,2026-05-20 11:38:19
La producción de coches crece un 8% en abril y permite recuperar las caídas previas,https://www.lavanguardia.com/economia/20260520/11543005/produccion-coches-crece-8-abril-permite-recuperar-caidas-previas.html,2026-05-20 11:38:19
Stellantis abre una fábrica francesa a la china Dongfeng tras ampliar su alianza,https://www.lavanguardia.com/dinero/20260520/11542955/stellantis-china-dongfeng-fabrica-rennes-coches.html,2026-05-20 11:38:19
1.425 empresas optan al Premio Pyme del Año,https://www.lavanguardia.com/economia/20260520/11541122/1425-empresas-optan-premio-pyme-ano-de-banco-santander-camara-espana-brl.html,2026-05-20 11:38:19
La subasta de Serra Soldadura queda desierta y 170 empleos corren peligro,https://www.lavanguardia.com/economia/20260520/11543073/subasta-serra-soldadura-queda-desierta-170-empleos-corren-peligro.html,2026-05-20 11:38:19
AliExpress dinamita el precio de sus portátiles más vendidos y deja ofertas de hasta un -70%,https://www.lavanguardia.com/comprar/tecnologia/20260520/11541950/aliexpress-dinamita-precio-portatiles-mas-vendidos-deja-ofertas-70-descuento-mkt-alie.html,2026-05-20 11:38:19
He probado el Google Pixel Watch 4 y te digo si lo compraría,https://www.lavanguardia.com/comprar/tecnologia/20260519/11535667/google-pixel-watch-4-he-probado-smartwatch-semana-te-confieso-me-compraria-mkt-rvw.html,2026-05-20 11:38:19
Guía para ir al Mundial: ver a España y qué ciudades elegir,https://www.lavanguardia.com/comprar/cultura-ocio/20260421/11508669/guia-viajar-mundial-2026-espana-sedes-calendario-mkt-last.html,2026-05-20 11:38:19
Cómo decorar un pasillo estrecho con estas 5 ideas tan fáciles,https://www.lavanguardia.com/comprar/hogar-cocina/20260520/11542321/mi-pasillo-estrecho-5-m-he-decorado-5-ideas-elegantes-faciles-instalar-ocupan-poco-espacio.html,2026-05-20 11:38:19
"Los depósitos y cuentas que aún pagan hasta un 3,05% TAE",https://www.lavanguardia.com/comprar/finanzas/20260520/11539338/depositos-cuentas-remuneradas-aun-pagan-3-05-tae-primavera-mkt-hmc.html,2026-05-20 11:38:19
La jueza del caso VPP deniega a la Generalitat ser acusadora por el 'evidente' conflicto de intereses,https://www.lavanguardia.com/local/valencia/20260520/11542922/jueza-caso-vpp-deniega-generalitat-acusadora-evidente-conflicto-intereses.html,2026-05-20 11:38:19
Zaragoza rectifica y rebaja las multas a los sintecho en parques de 3.000 a 50 euros,https://www.lavanguardia.com/local/aragon/20260520/11542986/zaragoza-rectifica-rebaja-multas-sintecho-parques-3-000-50-euros.html,2026-05-20 11:38:19
El AMB dispone 20 millones para actuar contra la regresión de las playas,https://www.lavanguardia.com/local/baix-llobregat/20260520/11543034/amb-reserva-20-millones-actuar-regresion-playas-espera-concurso-ministerio-generalitat.html,2026-05-20 11:38:19
El desalojo de pisos ocupados en la Mina genera un nuevo conflicto social,https://www.lavanguardia.com/local/barcelones-nord/20260520/11542413/desalojo-pisos-ocupados-barrio-mina-sant-adria-genera-nuevo-conflicto-social.html,2026-05-20 11:38:19
Los Mossos desmantelan un centro de producción de marihuana en Martorell,https://www.lavanguardia.com/local/baix-llobregat/20260520/11542900/mossos-desmantelan-centro-produccion-marihuana-martorell.html,2026-05-20 11:38:19
El Arsenal rompe el maleficio y se corona en la Premier,https://www.lavanguardia.com/deportes/20260519/11542569/arsenal-rompe-maleficio-corona-premier.html,2026-05-20 11:38:19
El enorme vacío que dejará Guardiola si se va del Manchester City,https://www.lavanguardia.com/deportes/futbol/20260520/11542421/enorme-vacio-dejara-guardiola-manchester-city.html,2026-05-20 11:38:19
"La salida de Lewandowski y el nuevo Camp Nou, claves para poder fichar este verano",https://www.lavanguardia.com/deportes/fc-barcelona/20260520/11542559/salida-lewandowski-nuevo-spotify-camp-nou-claves-fichar-verano.html,2026-05-20 11:38:19
Sancionan de por vida a un entrenador por grabar a las jugadoras en los vestuarios,https://www.lavanguardia.com/deportes/futbol/20260520/11543061/sancionan-vida-entrenador-republica-checa-grabar-jugadoras-vestuarios.html,2026-05-20 11:38:19
"Randri, o un elefante en el vestuario: ¿con qué cara le hablará a sus jugadoras?",https://www.lavanguardia.com/deportes/futbol/20260519/11541612/randri-imagen-elefante-vestuario-femenino-que-cara-le-hablara-jugadoras.html,2026-05-20 11:38:19
Sanidad amplía el cribado de cáncer de mama a mujeres de entre 45 y 74 años,https://www.lavanguardia.com/vida/20260520/11543008/sanidad-amplia-cribado-cancer-mama-mujeres-45-74-anos.html,2026-05-20 11:38:19
El parque temático Puy du Fou reconoce haber enterrado animales en el recinto,https://www.lavanguardia.com/vida/20260520/11543014/parque-tematico-puy-du-fou-reconoce-haber-enterrado-animales-recinto.html,2026-05-20 11:38:19
El primer gran episodio de calor del año disparará los termómetros hasta los 35-39 grados,https://www.lavanguardia.com/vida/20260520/11543092/primer-gran-episodio-calor-ano-disparara-termometros-35-39-grados.html,2026-05-20 11:38:19
La UPC participa en el desarrollo del telescopio más grande del mundo,https://www.lavanguardia.com/launi/20260520/11542898/upc-participa-desarrollo-telescopio-mas-grande-mundo.html,2026-05-20 11:38:19
Recuperan los dos últimos cuerpos de los buceadores italianos fallecidos en Maldivas,https://www.lavanguardia.com/vida/20260520/11542897/recuperan-dos-ultimos-cuerpos-buceadores-italianos-fallecidos-maldivas.html,2026-05-20 11:38:19
Jaime Serra detecta con su grafismo conceptual el momento en que se aparecen las musas,https://www.lavanguardia.com/cultura/20260520/11542490/jaime-serra-detecta-grafismo-conceptual-momento-aparecen-musas.html,2026-05-20 11:38:19
Salvar a Miguel Hernández,https://www.lavanguardia.com/cultura/20260520/11542355/salvar-miguel-hernandez-nueva-biografia-mario-amoros-german-vergara-donoso.html,2026-05-20 11:38:19
Y con Monet nació el arte borroso,https://www.lavanguardia.com/cultura/20260520/11542486/monet-padre-arte-borroso-caixaforum-exposicion-desenfocado.html,2026-05-20 11:38:19
"Almodóvar, tras la ovación en Cannes: “No sé cómo agradeceros esta generosidad”",https://www.lavanguardia.com/cultura/20260519/11542579/emocion-almodovar-calurosa-ovacion-cannes-amarga-navidad-se-como-agradeceros-generosidad.html,2026-05-20 11:38:19
Étienne Davodeau propone un viaje gráfico íntimo al corazón del alzheimer,https://www.lavanguardia.com/cultura/culturas/20260520/11541870/alli-donde-vas-etienne-davodeau-memoria-alzheimer-comic-critica.html,2026-05-20 11:38:19
"La química, motor de la nueva industria sostenible y más competitiva",https://www.lavanguardia.com/economia/20260520/11535628/quimica-motor-nueva-industria-sostenible-competitiva-brl.html,2026-05-20 11:38:19
